CF优选域名,,80系端口,443系端口
www.visa.com.tw,,80,443
icook.tw,,8080,8443
www.gov.ua,,8880,2053
www.baipiao.eu.org,,2052,2083
www.csgo.com,,2082,2087
shopify.com,,2086,2096
www.sean-now.com,,2095,
icook.hk,,,
www.ipaddress.my,,,
www.visa.co.jp,,,
www.4chan.org,,,
gur.gov.ua,,,
www.udacity.com,,,
log.bpminecraft.com,,,
time.cloudflare.com,,,
www.gco.gov.qa,,,
www.visa.com.sg,,,
www.whatismyip.com,,,
www.udemy.com,,,
www.iakeys.com,,,
www.visa.com.hk,,,
www.wto.org,,,
www.visa.com,,,
www.zsu.gov.ua,,,
www.shopify.com,,,
www.ipget.net,,,
edtunnel-dgp.pages.dev,,,
www.gov.se,,,
www.who.int,,,
www.boba88slot.com,,,
www.digitalocean.com,,,
www.visakorea.com,,,
fbi.gov,,,
www.pcmag.com,,,
iplocation.io,,,
singapore.com,,,
time.is,,,
www.whoer.net,,,
www.iplocation.net,,,
russia.com,,,
www.hugedomains.com,,,
japan.com,,,
malaysia.com,,,
skk.moe,,,
ip.sb,,,
www.ipchicken.com,,,
www.glassdoor.com,,,
download.yunzhongzhuan.com,,,
www.okcupid.com,,,
whatismyipaddress.com,,,
cdn-b100.xn--b6gac.eu.org,,,
cdn.xn--b6gac.eu.org,,,
www.d-555.com,,,
